,docno,relevance_sum
128,ROUND-30-2037251.0-00- LSW+SG+Hetro,3.0
136,ROUND-01-2036968.0-00- LSW+SG+Hetro,3.0
137,ROUND-30-2036968.0-01- LSW+SG+Hetro,3.0
138,ROUND-30-2036968.0-00- LSW+SG+Hetro,3.0
141,ROUND-30-2029260.0-01- LSW+SG+Hetro,3.0
146,ROUND-30-2055211.0-01- LSW+SG+Hetro,3.0
153,ROUND-01-2035447.0-01- LSW+SG+Hetro,2.0
158,ROUND-01-2003157.0-01- LSW+SG+Hetro,3.0
159,ROUND-01-2040613.0-00- LSW+SG+Hetro,3.0
162,ROUND-30-2040613.0-01- LSW+SG+Hetro,3.0
163,ROUND-30-2040613.0-00- LSW+SG+Hetro,3.0
166,ROUND-01-2040613.0-01- LSW+SG+Hetro,0.0
168,ROUND-30-2033470.0-01- LSW+SG+Hetro,2.0
169,ROUND-30-2009871.0-01- LSW+SG+Hetro,3.0
170,ROUND-30-2009871.0-00- LSW+SG+Hetro,3.0
173,ROUND-01-2009871.0-00- LSW+SG+Hetro,3.0
177,ROUND-01-2009871.0-01- LSW+SG+Hetro,2.0
184,ROUND-01-2030608.0-01- LSW+SG+Hetro,3.0
186,ROUND-30-2030608.0-01- LSW+SG+Hetro,3.0
187,ROUND-30-2030608.0-00- LSW+SG+Hetro,3.0
188,ROUND-01-2030608.0-00- LSW+SG+Hetro,3.0
193,ROUND-01-2043895.0-01- LSW+SG+Hetro,2.0
195,ROUND-30-2032949.0-01- LSW+SG+Hetro,3.0
196,ROUND-30-2032949.0-00- LSW+SG+Hetro,3.0
200,ROUND-01-2032949.0-00- LSW+SG+Hetro,3.0
204,ROUND-01-2032949.0-01- LSW+SG+Hetro,2.0
206,ROUND-01-2049687.0-00- LSW+SG+Hetro,3.0
211,ROUND-30-2002269.0-01- LSW+SG+Hetro,3.0
213,ROUND-01-2026150.0-00- LSW+SG+Hetro,3.0
216,ROUND-01-2003976.0-01- LSW+SG+Hetro,0.0
223,ROUND-01-2038890.0-00- LSW+SG+Hetro,3.0
226,ROUND-01-2038890.0-01- LSW+SG+Hetro,3.0
227,ROUND-30-2038890.0-00- LSW+SG+Hetro,3.0
228,ROUND-30-2038890.0-01- LSW+SG+Hetro,2.0
242,ROUND-30-2035009.0-01- LSW+SG+Hetro,3.0
243,ROUND-30-2035009.0-00- LSW+SG+Hetro,3.0
248,ROUND-01-2035009.0-01- LSW+SG+Hetro,3.0
253,ROUND-01-2055634.0-01- LSW+SG+Hetro,0.0
254,ROUND-30-2006375.0-00- LSW+SG+Hetro,3.0
257,ROUND-30-2006375.0-01- LSW+SG+Hetro,3.0
262,ROUND-01-2006375.0-00- LSW+SG+Hetro,3.0
265,ROUND-01-2006375.0-01- LSW+SG+Hetro,2.0
267,ROUND-30-2000719.0-01- LSW+SG+Hetro,3.0
268,ROUND-30-2000719.0-00- LSW+SG+Hetro,3.0
272,ROUND-01-2046371.0-01- LSW+SG+Hetro,3.0
277,ROUND-01-2046371.0-00- LSW+SG+Hetro,3.0
278,ROUND-30-2055634.0-01- LSW+SG+Hetro,3.0
283,ROUND-30-2046371.0-01- LSW+SG+Hetro,3.0
284,ROUND-30-2046371.0-00- LSW+SG+Hetro,3.0
289,ROUND-01-2049687.0-01- LSW+SG+Hetro,0.0
296,ROUND-30-2043895.0-01- LSW+SG+Hetro,3.0
299,ROUND-30-2038466.0-00- LSW+SG+Hetro,3.0
300,ROUND-30-2038466.0-01- LSW+SG+Hetro,3.0
305,ROUND-30-2003322.0-01- LSW+SG+Hetro,3.0
309,ROUND-30-2001975.0-01- LSW+SG+Hetro,3.0
312,ROUND-01-2001975.0-01- LSW+SG+Hetro,2.0
314,ROUND-30-2035447.0-01- LSW+SG+Hetro,2.0
317,ROUND-30-2049687.0-01- LSW+SG+Hetro,3.0
318,ROUND-30-2049687.0-00- LSW+SG+Hetro,3.0
319,ROUND-30-2004253.0-01- LSW+SG+Hetro,2.0
322,ROUND-01-2037609.0-01- LSW+SG+Hetro,1.0
325,ROUND-01-2026150.0-01- LSW+SG+Hetro,3.0
326,ROUND-30-2026150.0-01- LSW+SG+Hetro,3.0
327,ROUND-30-2026150.0-00- LSW+SG+Hetro,3.0
336,ROUND-01-2037609.0-00- LSW+SG+Hetro,3.0
337,ROUND-30-2037609.0-00- LSW+SG+Hetro,3.0
338,ROUND-30-2037609.0-01- LSW+SG+Hetro,3.0
343,ROUND-01-2033470.0-01- LSW+SG+Hetro,1.0
352,ROUND-30-2029260.0-00- LSW+SG+Hetro,3.0
353,ROUND-01-2029260.0-00- LSW+SG+Hetro,0.0
354,ROUND-01-2035009.0-00- LSW+SG+Hetro,3.0
355,ROUND-01-2055211.0-00- LSW+SG+Hetro,2.0
356,ROUND-30-2055211.0-00- LSW+SG+Hetro,3.0
